Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
CM_011-1,-73.506215,42.505483,24.95,6.5,8.49,102.7,-93.9,-73.506215,42.505483,-154.70054265858997,114.45822434223476,1207.6452693681963,0.6199789293828368,0.152396674964478,0.0425638578993799,0.0064865904175259
CM_011-2,-73.506215,42.505483,24.95,6.5,8.49,102.7,-82.29,-73.506215,42.505483,-154.70054265858997,114.45822434223476,1207.6452693681963,0.6199789293828368,0.152396674964478,0.0425638578993799,0.0064865904175259
CM_011-3,-73.506215,42.505483,24.95,6.5,8.49,102.7,-105.08,-73.506215,42.505483,-154.70054265858997,114.45822434223476,1207.6452693681963,0.6199789293828368,0.152396674964478,0.0425638578993799,0.0064865904175259
CM_012-1,-73.33724,42.763802,22.49,6.5,10.32,119.16,-38.69,-73.33724,42.763802,-106.97754736014971,116.47152124809496,1207.8380332502072,0.988539693106252,0.1550107888395926,0.0678669242310478,0.0105201054611715
CM_012-2,-73.33724,42.763802,22.49,6.5,10.32,119.16,-33.77,-73.33724,42.763802,-106.97754736014971,116.47152124809496,1207.8380332502072,0.988539693106252,0.1550107888395926,0.0678669242310478,0.0105201054611715
CM_012-3,-73.33724,42.763802,22.49,6.5,10.32,119.16,-28.09,-73.33724,42.763802,-106.97754736014971,116.47152124809496,1207.8380332502072,0.988539693106252,0.1550107888395926,0.0678669242310478,0.0105201054611715
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-167.3389321703084,114.15434454298006,1207.616970816062,3.2617511099768413,0.1519358174518801,0.2239313372898031,0.0340231907842189
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-167.3389321703084,114.15434454298006,1207.616970816062,3.2617511099768413,0.1519358174518801,0.2239313372898031,0.0340231907842189
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-167.3389321703084,114.15434454298006,1207.616970816062,3.2617511099768413,0.1519358174518801,0.2239313372898031,0.0340231907842189
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-152.683339935095,114.81743081404696,1207.680360185665,3.289263591707578,0.1526901853870544,0.2258201714216535,0.0344805238385086
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-56.28,-77.4402867,35.3667814,-152.683339935095,114.81743081404696,1207.680360185665,3.289263591707578,0.1526901853870544,0.2258201714216535,0.0344805238385086
