Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate
S19S_0006-U,-76.717476,39.311813,25.7,7.5,,,-47.48,-76.717476,39.311813,-215.70918097593955,165.5961131289452,1319.334607050641,0.64075142048147,0.1354592099204706,0.0442719434250248,0.0059970424779975,1.6765107102825536,2.3338686298607074,-47.48,-215.70918097593955
S19S_0007-D,-119.195598,37.05255,11.2,6.5,,,-10.36,-119.195598,37.05255,-163.2518135790554,181.6449630645652,1321.518138691595,2.999240178622398,0.145414318452334,0.2072288679535935,0.0301340445971205,1.0153597554092142,2.212858014590305,-10.36,-163.2518135790554
S19S_0007-U,-119.195359,37.05229,11.2,6.5,,,-16.41,-119.195359,37.05229,-163.2518135790554,181.6449630645652,1321.518138691595,2.999240178622398,0.145414318452334,0.2072288679535935,0.0301340445971205,1.2151085810530933,2.212858014590305,-16.41,-163.2518135790554
S19S_0008-D,-119.027785,36.961112,12.6,6.5,4.62,41.1,-7.46,-119.027785,36.961112,-98.50137493677066,178.89758079780282,1321.125416679332,8.472039224709148,0.1436125920318586,0.5853652902853943,0.0840658266233668,0.8727388274726688,1.993442292662941,-7.46,-98.50137493677066
S19S_0008-M,-119.028281,36.961369,12.6,6.5,4.62,41.1,-10.64,-119.02828100000002,36.961369,-98.50137493677066,178.89758079780282,1321.125416679332,8.472039224709148,0.1436125920318586,0.5853652902853943,0.0840658266233668,1.0269416279590293,1.993442292662941,-10.64,-98.50137493677066
S19S_0008-U,-119.028254,36.961273,12.6,6.5,4.62,41.1,-15.32,-119.02825400000002,36.961273,-98.50137493677066,178.89758079780282,1321.125416679332,8.472039224709148,0.1436125920318586,0.5853652902853943,0.0840658266233668,1.1852587652965851,1.993442292662941,-15.32,-98.50137493677066
S19S_0009-D,-108.3983,42.9877,25.6,8.0,,,-37.43,-108.39830000000002,42.9877,-191.59688619474176,169.59396078394866,1319.871248281695,2.385372340760412,0.1371589439498444,0.1648144131126713,0.0226057708502473,1.573219827114422,2.282388446707922,-37.43,-191.59688619474176
S19S_0009-M,-108.3983,42.9876,25.6,8.0,,,-35.0,-108.39830000000002,42.9876,-191.59688619474176,169.59396078394866,1319.871248281695,2.385372340760412,0.1371589439498444,0.1648144131126713,0.0226057708502473,1.5440680443502757,2.282388446707922,-35.0,-191.59688619474176
S19S_0009-U,-108.3982,42.9875,25.6,8.0,,,-22.83,-108.3982,42.9875,-191.59688619474176,169.59396078394866,1319.871248281695,2.385372340760412,0.1371589439498444,0.1648144131126713,0.0226057708502473,1.3585059114902354,2.282388446707922,-22.83,-191.59688619474176
S19S_0010-D,-81.840062,31.667875,30.0,6.7,,,-1.72,-81.840062,31.667875,-129.20410936946644,175.62928138790903,1320.678237982718,4.3115835135763385,0.1411051271126629,0.2979036413869979,0.0420357311852374,0.23552844690754893,2.1112763267248704,-1.72,-129.20410936946644
