Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate
CM_016-1,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3860.77,-83.96496,43.40991,-3481.623041170279,362.3156910705778,1112.7018700751858,3.305345288517711,0.6548637031713858,0.2270108639321124,0.1486611750147186,3.586673929905294,3.5417817478261377
CM_016-2,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3462.55,-83.96496,43.40991,-3481.623041170279,362.3156910705778,1112.7018700751858,3.305345288517711,0.6548637031713858,0.2270108639321124,0.1486611750147186,3.5393960534276854,3.5417817478261377
CM_016-3,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3840.88,-83.96496,43.40991,-3481.623041170279,362.3156910705778,1112.7018700751858,3.305345288517711,0.6548637031713858,0.2270108639321124,0.1486611750147186,3.584430738784042,3.5417817478261377
CM_017-1,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.54,-110.5660089,45.597409,-70.85342909789931,105.93517651811098,1055.686361777485,1.1203586224395736,0.1980556482750218,0.0769461452869438,0.0152396186870696,0.40483371661993806,1.8503608736696842
CM_017-2,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.85,-110.5660089,45.597409,-70.85342909789931,105.93517651811098,1055.686361777485,1.1203586224395736,0.1980556482750218,0.0769461452869438,0.0152396186870696,0.4548448600085102,1.8503608736696842
CM_017-3,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.5,-110.5660089,45.597409,-70.85342909789931,105.93517651811098,1055.686361777485,1.1203586224395736,0.1980556482750218,0.0769461452869438,0.0152396186870696,0.3979400086720376,1.8503608736696842
CM_018-1,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.78,-102.126046,41.316592,-154.98933485605136,102.03294657075207,1055.3028980726792,3.508115895455789,0.1912382724422641,0.2409371338504043,0.0460764012447418,0.250420002308894,2.190301814476586
CM_018-2,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.64,-102.126046,41.316592,-154.98933485605136,102.03294657075207,1055.3028980726792,3.508115895455789,0.1912382724422641,0.2409371338504043,0.0460764012447418,0.21484384804769785,2.190301814476586
CM_018-3,-102.126046,41.316592,20.47,8.0,8.26,91.71,-0.86,-102.126046,41.316592,-154.98933485605136,102.03294657075207,1055.3028980726792,3.508115895455789,0.1912382724422641,0.2409371338504043,0.0460764012447418,-0.06550154875643228,2.190301814476586
CM_020-1,-79.04489,33.82767,30.16,6.5,4.36,57.87,-18.49,-79.04489,33.82767,-136.79534225179805,102.8995796393871,1055.38655815001,2.1261335661311,0.1926512942839871,0.146022692200769,0.0281314606473103,1.266936911159173,2.136071310331615
