Sample_ID,rate_mg_per_L_per_min,rate_mg_per_L_per_h,slope_of_the_regression,R_squared,R_squared_adj,p_value,total_incubation_time_min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero
S19S_0059_SED_INC-M,-0.25,-15,-0.25,1,-9999,-9999,10,2,0,6.92
S19S_0059_SED_INC-U,-0.115,-6.92,-0.115,1,0.999,0.002,27,3,0,7.39
S19S_0060_SED_INC-D,-0.087,-5.24,-0.087,0.964,0.946,0.012,46,4,0,8.49
S19S_0060_SED_INC-M,-0.031,-1.84,-0.031,0.988,0.984,0.002,113,6,0,8.56
S19S_0060_SED_INC-U,-0.019,-1.12,-0.019,0.993,0.992,0.001,111,8,0,8.75
S19S_0061_SED_INC-D,-0.465,-660,-0.465,1,-9999,-9999,2,2,0,3
S19S_0061_SED_INC-M,-1.71,-681.6,-1.71,1,-9999,-9999,1,2,0,2.82
S19S_0062_SED_INC-D,-0.012,-0.69,-0.012,0.998,0.996,0,141,4,0,8.49
S19S_0062_SED_INC-M,-0.105,-6.32,-0.105,1,-9999,-9999,40,2,0,8.57
S19S_0062_SED_INC-U,-0.008,-0.51,-0.008,0.512,0.349,0.005,144,5,0,8.46
S19S_0063_SED_INC-D,-0.006,-0.39,-0.006,0.876,0.855,0.001,122,8,0,8.62
S19S_0063_SED_INC-M,-0.011,-0.64,-0.011,0.983,0.979,0.001,113,6,0,8.6
S19S_0063_SED_INC-U,-0.009,-0.52,-0.009,0.836,0.795,0.002,114,6,0,8.58
S19S_0064_SED_INC-D,-0.383,-22.97,-0.383,1,-9999,-9999,7,2,0,6.72
S19S_0064_SED_INC-M,-0.353,-21.19,-0.353,1,-9999,-9999,16,2,0,6.44
S19S_0064_SED_INC-U,-0.128,-7.67,-0.128,0.989,0.978,0.013,29,3,0,8.61
S19S_0066_SED_INC-D,-0.014,-0.83,-0.014,0.979,0.974,0.001,121,7,0,8.88
S19S_0066_SED_INC-M,-0.96,-734.4,-0.96,0.986,0.971,0.115,2,3,0,2.38
S19S_0066_SED_INC-U,-0.985,-823.2,-0.985,0.833,0.665,0.442,1,3,0,1.64
S19S_0067_SED_INC-D,-1.39,-326.4,-1.39,1,-9999,-9999,1,2,0,5.78
S19S_0067_SED_INC-M,-0.63,-688.8,-0.63,1,-9999,-9999,1,2,0,2.76
S19S_0067_SED_INC-U,-1.11,-747.6,-1.11,1,-9999,-9999,1,2,0,2.27
S19S_0068_SED_INC-U,-0.014,-0.85,-0.014,0.991,0.989,0.001,88,7,0,8.43
S19S_0069_SED_INC-D,-0.005,-0.3,-0.005,0.891,0.864,0.001,97,6,0,8.61
S19S_0069_SED_INC-M,-0.005,-0.32,-0.005,0.894,0.877,0.001,115,8,0,8.79
S19S_0069_SED_INC-U,-0.007,-0.43,-0.007,0.534,0.441,0.003,93,7,0,8.73
S19S_0070_SED_INC-D,-0.008,-0.47,-0.008,0.952,0.94,0.001,101,6,0,8.77
S19S_0070_SED_INC-M,-0.009,-0.53,-0.009,0.921,0.901,0.001,104,6,0,8.58
S19S_0070_SED_INC-U,-0.017,-1.04,-0.017,0.979,0.975,0.001,108,8,0,8.69
S19S_0071_SED_INC-D,-0.24,-14.41,-0.24,1,1,0.002,23,3,0,8.63
S19S_0071_SED_INC-M,-0.42,-25.2,-0.42,1,-9999,-9999,14,2,0,7.13
S19S_0071_SED_INC-U,-0.088,-5.27,-0.088,0.987,0.98,0.007,36,4,0,8.34
S19S_0072_SED_INC-D,-0.017,-1.01,-0.017,0.748,0.685,0.005,101,6,0,8.68
S19S_0072_SED_INC-M,-0.018,-1.1,-0.018,0.969,0.964,0.001,114,8,0,9.12
S19S_0072_SED_INC-U,-0.11,-6.59,-0.11,0.985,0.969,0.014,27,3,0,8.4
S19S_0073_SED_INC-D,-0.424,-25.45,-0.424,0.928,0.892,0.083,14,4,0,7.23
S19S_0073_SED_INC-M,-0.407,-24.44,-0.407,1,-9999,-9999,15,2,0,6.63
S19S_0074_SED_INC-D,-0.028,-1.7,-0.028,0.995,0.994,0.001,114,6,0,8.76
S19S_0074_SED_INC-M,-0.017,-1,-0.017,0.784,0.741,0.004,116,7,0,8.61
S19S_0074_SED_INC-U,-0.028,-1.66,-0.028,0.973,0.968,0.002,115,7,0,8.77
S19S_0075_SED_INC-D,-0.022,-1.33,-0.022,0.985,0.982,0.001,100,7,0,8.21
S19S_0075_SED_INC-M,-0.004,-0.24,-0.004,0.333,0.166,0.003,118,6,0,8.54
S19S_0075_SED_INC-U,-0.007,-0.42,-0.007,0.619,0.524,0.003,116,6,0,8.46
S19S_0076_SED_INC-D,-0.084,-5.04,-0.084,0.993,0.986,0.007,35,3,0,8.25
S19S_0076_SED_INC-M,-0.065,-3.91,-0.065,0.986,0.979,0.005,40,4,0,7.98
S19S_0076_SED_INC-U,-0.118,-7.06,-0.118,1,-9999,-9999,13,2,0,7.51
S19S_0077_SED_INC-D,-0.028,-1.68,-0.028,0.994,0.992,0.001,88,5,0,8.29
