Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
SSS022-3,-121.1073,47.4636,14.6,7.85,9.61,,-2.66,-121.10729999999998,47.4636,-173.94206057526634,324.6122581345538,1248.9082442826425,5.40727277238114,0.3795519319232535,0.3655532842690152,0.1387464552651949,0.424881636631067,2.2404046105654034,-2.66,-173.94206057526634,6439.175209596479
SSS025-1,-120.1377,46.2752,18.24,7.5,6.58,,-3555.34,-120.1377,46.2752,-4198.838751666421,545.1946139975282,1339.495990116896,5.854399952488238,0.5843972795501962,0.3957808714565794,0.2312932645772309,3.5508811389794825,3.623129196713162,-3555.34,-4198.838751666421,18.099499672785736
SSS025-2,-120.1377,46.2752,18.24,7.5,6.58,,-3631.26,-120.1377,46.2752,-4210.510193696706,546.8281769588307,1339.910316564367,5.854399952488238,0.5863513135160365,0.3957808714565794,0.2320666338430869,3.5600573457244478,3.6243347231236487,-3631.26,-4210.510193696706,15.951768633937133
SSS025-3,-120.1377,46.2752,18.24,7.5,6.58,,-3685.4,-120.1377,46.2752,-4212.131864627333,546.8944131474,1340.0181318795355,5.854399952488238,0.586578555098506,0.3957808714565794,0.2321565717146278,3.566484631507165,3.6245019587108813,-3685.4,-4212.131864627333,14.292393352887961
SSS026-1,-120.1991,46.3147,20.46,8.83,12.89,,-3114.61,-120.1991,46.3147,-3214.0903644278847,391.7776516572815,1270.9501151185752,4.882984387488342,0.4498898091923827,0.3301092907681541,0.1485128058363176,3.4934036736431024,3.507058082825801,-3114.61,-3214.0903644278847,3.193991043112445
SSS026-2,-120.1991,46.3147,20.46,8.83,12.89,,-3019.19,-120.1991,46.3147,-3212.788996125568,389.72533999665177,1269.8163455418223,4.882984387488342,0.4485850574459488,0.3301092907681541,0.1480820951626738,3.4798904443762315,3.506882203663104,-3019.19,-3212.788996125568,6.412282636255676
SSS026-3,-120.1991,46.3147,20.46,8.83,12.89,,-2328.29,-120.1991,46.3147,-3206.110535175825,388.0138986674192,1268.9810172274788,4.882984387488342,0.4466271732915827,0.3301092907681541,0.1474357794130698,3.3670370728661094,3.5059784911901133,-2328.29,-3206.110535175825,37.702371060985755
S19S_0008-D,-119.027785,36.961112,12.6,6.5,4.62,,-7.46,-119.027785,36.961112,-36.00558944954953,337.5319212261249,1252.0959779963723,6.729438453008198,0.3901295654307176,0.4549369767969146,0.1774843650561447,0.8727388274726688,1.5563699251747443,-7.46,-36.00558944954953,382.64865213873367
S19S_0008-M,-119.028281,36.961369,12.6,6.5,4.62,,-10.64,-119.02828100000002,36.961369,-36.00558944954953,337.5319212261249,1252.0959779963723,6.729438453008198,0.3901295654307176,0.4549369767969146,0.1774843650561447,1.0269416279590293,1.5563699251747443,-10.64,-36.00558944954953,238.39839708223246
S19S_0008-U,-119.028254,36.961273,12.6,6.5,4.62,,-15.32,-119.02825400000002,36.961273,-36.00558944954953,337.5319212261249,1252.0959779963723,6.729438453008198,0.3901295654307176,0.4549369767969146,0.1774843650561447,1.1852587652965851,1.5563699251747443,-15.32,-36.00558944954953,135.0234298273468
S19S_0026-D,-105.54327,40.03489,9.5,6.0,8.25,,-17.98,-105.54327,40.03489,-36.04284655647412,337.4833767175384,1252.0785186329445,4.669633437605758,0.3901174642575552,0.315685912530265,0.1231545876981393,1.25478968739721,1.5568190829438298,-17.98,-36.04284655647412,100.4607706144278
S19S_0026-M,-105.54371,40.03496,9.5,6.0,8.25,,-3.11,-105.54371,40.03496,-36.04284655647412,337.4833767175384,1252.0785186329445,4.669633437605758,0.3901174642575552,0.315685912530265,0.1231545876981393,0.4927603890268375,1.5568190829438298,-3.11,-36.04284655647412,1058.9339728769812
S19S_0026-U,-105.54393,40.03497,9.5,6.0,8.25,,-5.64,-105.54393,40.03497,-36.04284655647412,337.4833767175384,1252.0785186329445,4.669633437605758,0.3901174642575552,0.315685912530265,0.1231545876981393,0.7512791039833423,1.5568190829438298,-5.64,-36.04284655647412,539.0575630580518
S19S_0054-D,-77.0237,37.57261,29.1,6.7,5.0,,-2448.32,-77.0237,37.57261,-2462.8243887329486,312.0798036806846,1246.6748976792555,3.569371884050189,0.3495889719147332,0.2413038272558701,0.0843571568894699,3.3888681802838656,3.391433445650196,-2448.32,-2462.8243887329486,0.5924220989473773
S19S_0035-D,-110.757838,32.42735,18.4,6.5,5.88,,-12.66,-110.75783800000002,32.42735,-74.15383950633004,332.2616311942582,1250.6392791810008,5.721643105135188,0.3854910118584083,0.3868059771610698,0.1491102275287011,1.1024337056813363,1.8701336426636952,-12.66,-74.15383950633004,485.7333294338866
S19S_0035-M,-110.758821,32.42728,18.4,6.5,5.88,,-7.65,-110.75882099999998,32.42728,-55.48444014183859,334.8819489432337,1251.3510371543164,5.721643105135188,0.3876064636375401,0.3868059771610698,0.1499284969212653,0.8836614351536176,1.74417120820406,-7.65,-55.48444014183859,625.2867992397202
