Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,CM_083_Water,10.58052/IEWDR01YL,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.93,0.79,FALSE
N/A,CM_084_Water,10.58052/IEWDR01X7,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.68,0.18,FALSE
N/A,CM_085_Water,10.58052/IEWDR01XA,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.163,0.29,FALSE
N/A,CM_086_Water,10.58052/IEWDR01YM,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.81,0.117,FALSE
N/A,CM_087_Water,10.58052/IEWDR01YN,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.955,1.985,TRUE
N/A,CM_088_Water,10.58052/IEWDR01XD,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.035,1.855,TRUE
N/A,CM_089_Water,10.58052/IEWDR01YO,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.387,0.107,FALSE
N/A,CM_090_Water,10.58052/IEWDR01YP,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.807,0.133,FALSE
N/A,CM_091_Water,10.58052/IEWDR01YQ,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.21,0.56,FALSE
N/A,CM_092_Water,10.58052/IEWDR01YR,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.853,0.437,FALSE
N/A,CM_093_Water,10.58052/IEWDR01YS,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.193,0.387,FALSE
N/A,CM_094_Water,10.58052/IEWDR01YT,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.24,0.293,FALSE
N/A,CM_095_Water,10.58052/IEWDR01YU,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.467,0.61,FALSE
