Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_DO_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_DO_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100026,-71.4705561494,42.7933420569,-18.867696164220146,24.28420754846961,111.12471416928064,0.9713510677111789,0.1313086285266005,0.0653925471637752,0.0085866056839363,0.0,0.0,4.452265921018782,18.78495623832321,69.09881584606006,0.0,0.1370790034682202,0.0,0.0089639451994589
100027,-71.7895840108,42.4104253072,-15.733784600301757,32.391687372999584,113.99947098675707,0.119425562933197,0.1749608443919627,0.0080398756085905,0.0014066634252852,0.0,0.0,5.325571311071522,31.34223923244456,72.08034364556956,0.0,0.2181992707780142,0.0,0.0017542949949404
100028,-71.4022227837,42.6177864704,-24.478403667726763,24.846455863160976,111.43081569309666,1.2594825627571329,0.1382310526937749,0.0847899133740772,0.0117205989835126,0.0,0.0,10.053093681550727,15.644958020085465,67.98187568585489,0.0,0.1224786033734341,0.0,0.0103849501702114
100029,-71.3729172203,42.6395920302,-20.900790228314342,29.4523683934516,112.80995393687932,3.1411576498334672,0.1615121960048514,0.2114665918364588,0.0341544336291679,0.0,0.0,9.56931050856001,23.633626945090448,69.7823898783327,0.0,0.1636288825694853,0.0,0.0346020421229772
100030,-71.6311427616,42.3273972203,-27.179810670917774,24.101037977140383,111.297061026703,0.5216336759752063,0.133957561256699,0.0351170198832423,0.0047041903421621,0.0,0.0,18.199107785988613,13.136068585308257,67.39352806743075,0.0,0.1136308732650547,0.0,0.0039903776357991
100031,-71.4852783566,42.4266753195,-19.25341819628585,21.997553945398835,110.44615907839956,1.0070437339273743,0.1183969483446884,0.0677954213011797,0.0080267709938021,0.0,0.0,4.4863563820690455,14.210810770294016,68.36068321970004,0.0,0.1180908329558758,0.0,0.0080060177720508
100032,-71.4427783441,42.4594531053,-23.28418347053945,23.07658852916464,110.86646987634056,0.7200655296171229,0.1261474019141383,0.0484756960399999,0.0061150831114254,0.0,0.0,13.842099316889744,13.614445401474889,67.87690298447616,0.0,0.1149659404868396,0.0,0.0055730539859927
100033,-71.4646272019,42.2604393318,-22.653631862410776,24.394058081783424,111.2341064165898,0.8240128626287502,0.1303858115352832,0.0554735581955728,0.0072329649040795,0.0,0.0,14.130617436941256,16.198687106362694,68.28677530440639,0.0,0.1212474839531634,0.0,0.0067260293571426
100034,-71.2979171961,42.6479253679,-21.134512153523943,30.578467515693376,113.24069604782096,2.784927344127121,0.1659006212721572,0.1874847300344653,0.0311038331917604,0.0,0.0,9.529332735354028,25.943204953707596,70.36339235639822,0.0,0.1680254335079566,0.0,0.0315022030401632
100035,-71.0270868187,42.5729253616,-21.624554700639337,26.350163767460124,111.76425916993304,1.154545868250755,0.1399784639004266,0.0777254461872667,0.0108798885632688,0.0,0.0,8.019697746225356,18.495353578430723,68.7145929245992,0.0,0.131998177947773,0.0,0.0102596172768968
100036,-71.0104170913,42.4729253424,-19.73036038028285,23.491054223238205,110.83129752072884,1.296927320282495,0.1231118639941776,0.0873107404508241,0.0107489880036127,0.0,0.0,4.835531149750146,16.81024775827252,68.80853517365607,0.0,0.1236133166436449,0.0,0.0107927702057388
100037,-71.1354171316,42.4645920047,-24.11085349305663,26.7753202278653,111.93111117132582,0.7316160833090165,0.1381086221954549,0.0492532935041635,0.0068023045044483,0.0,0.0,11.42768848704848,19.309207458997093,68.81924008295728,0.0,0.1216731990961548,0.0,0.0059928057866734
100038,-71.260559577,42.2562586274,-21.150445174107595,29.110535460019527,113.116333264146,0.972395450105666,0.1517358745565113,0.065462856269575,0.0099330637470311,0.0,0.0,13.392915237260388,27.449375372996613,70.46522994064046,0.0,0.1527007682158392,0.0,0.0099962284419671
100039,-71.1895838111,42.3645919834,-23.820968008961547,30.845297320401016,113.92993854071192,2.6660950619337456,0.1364125228452671,0.1794847948141131,0.0244839736729582,0.0,0.0,13.02575952151592,29.81829213683734,70.79071595288248,0.0,0.1297149026187604,0.0,0.0232818526808608
100040,-71.2020838041,42.1770919469,-27.437394290263637,28.251126602408902,112.69810997545588,1.2181567377550109,0.1484818248831038,0.0820078080669806,0.0121766689964485,0.0,0.0,17.974327125779624,20.315018464473848,68.37207110371315,0.0,0.1255139507685884,0.0,0.0102931239843588
